what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1384790077628
ws,sysinfo,,,"win32",1384790077628
locale,sysinfo,,,"zh_CN",1384790077628
processors,sysinfo,,,"4",1384790077628
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384790077628
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1384790077628
java.specification.name,sysinfo,,,"Java Platform API Specification",1384790077628
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384790077628
java.specification.version,sysinfo,,,"1.6",1384790077628
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384790077628
java.version,sysinfo,,,"1.6.0_43",1384790077628
java.vm.info,sysinfo,,,"mixed mode",1384790077628
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384790077628
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384790077628
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384790077628
java.vm.specification.version,sysinfo,,,"1.0",1384790077628
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1384790077628
java.vm.version,sysinfo,,,"20.14-b01",1384790077628
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1384790077753
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1384790078033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384790078033
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1384790078127
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1384790078189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384790079593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384790083712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384790086395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384790086473
